version,creator,ns1:name,ns1:desc,ns1:name2,id,domain,href,ns1:text,ns1:type,author,ns1:year,ns1:license,href3,ns1:text4,ns1:type5,ns1:time,ns1:keywords,minlat,minlon,maxlat,maxlon,lat,lon,ns1:ele,ns1:time6,ns1:magvar,ns1:geoidheight,ns1:name7,ns1:cmt,ns1:desc8,ns1:src,href9,ns1:text10,ns1:type11,ns1:sym,ns1:type12,ns1:fix,ns1:sat,ns1:hdop,ns1:vdop,ns1:pdop,ns1:ageofdgpsdata,ns1:dgpsid,ns1:name13,ns1:cmt14,ns1:desc15,ns1:src16,href17,ns1:text18,ns1:type19,ns1:number,ns1:type20,lat21,lon22,ns1:ele23,ns1:time24,ns1:magvar25,ns1:geoidheight26,ns1:name27,ns1:cmt28,ns1:desc29,ns1:src30,href31,ns1:text32,ns1:type33,ns1:sym34,ns1:type35,ns1:fix36,ns1:sat37,ns1:hdop38,ns1:vdop39,ns1:pdop40,ns1:ageofdgpsdata41,ns1:dgpsid42,ns1:name43,ns1:cmt44,ns1:desc45,ns1:src46,href47,ns1:text48,ns1:type49,ns1:number50,ns1:type51,lat52,lon53,ns1:ele54,ns1:time55,ns1:magvar56,ns1:geoidheight57,ns1:name58,ns1:cmt59,ns1:desc60,ns1:src61,href62,ns1:text63,ns1:type64,ns1:sym65,ns1:type66,ns1:fix67,ns1:sat68,ns1:hdop69,ns1:vdop70,ns1:pdop71,ns1:ageofdgpsdata72,ns1:dgpsid73
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461662,-3.80621,12.8,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461664,-3.806209,12.8,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461663,-3.80621,12.8,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461664,-3.806206,12.8,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461663,-3.806201,12.6,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461658,-3.806202,12.6,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461659,-3.806201,12.6,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461666,-3.806205,12.4,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461666,-3.80621,12.4,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.46167,-3.806218,12.4,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461681,-3.806225,12.4,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461698,-3.806232,12.4,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461712,-3.806238,12.4,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.46174,-3.806247,12.6,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461757,-3.806257,12.8,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461783,-3.806262,13,,,,,,,,,,,,,,,,,,,
1.1,StravaGPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrera de mañana,,,,,,,,running,43.461804,-3.806266,13,,,,,,,,,,,,,,,,,,,
